id,date,revenue
250,2017-09-09,
251,2017-09-10,
252,2017-09-11,374989.14
253,2017-09-12,23528.75
254,2017-09-13,118990.13
255,2017-09-14,118990.13
256,2017-09-15,271727.34
257,2017-09-16,
258,2017-09-17,709930.08
259,2017-09-18,178631.96
260,2017-09-19,46911.75
261,2017-09-20,79207.98
262,2017-09-21,96608.66
263,2017-09-22,
264,2017-09-23,
265,2017-09-24,507958.42
266,2017-09-25,348133.55
267,2017-09-26,13298.02
268,2017-09-27,170954.27
269,2017-09-28,719531.38
270,2017-09-29,
271,2017-09-30,
272,2017-10-01,12638.9
273,2017-10-02,442830.04
274,2017-10-03,43694.63
275,2017-10-04,436092.84
276,2017-10-05,636491.58
277,2017-10-06,
278,2017-10-07,
279,2017-10-08,
280,2017-10-09,365146.05
281,2017-10-10,237541.48
282,2017-10-11,27634.61
283,2017-10-12,392278.54
284,2017-10-13,
285,2017-10-14,
286,2017-10-15,
287,2017-10-16,147157.36
288,2017-10-17,230135.75
289,2017-10-18,175668.44
290,2017-10-19,535788.93
291,2017-10-20,
292,2017-10-21,
293,2017-10-22,197847.93
294,2017-10-23,310849.76
295,2017-10-24,229215.26
296,2017-10-25,75924.77
297,2017-10-26,534708.71
298,2017-10-27,
299,2017-10-28,
300,2017-10-29,288345.38
301,2017-10-30,249808.21
302,2017-10-31,362867.07
303,2017-11-01,198764.73
304,2017-11-02,564225.49
305,2017-11-03,
306,2017-11-04,
307,2017-11-05,956619.47
308,2017-11-06,245286.9
309,2017-11-07,45386.25
310,2017-11-08,20027.1
311,2017-11-09,524658.72
312,2017-11-10,
313,2017-11-11,
314,2017-11-12,495468.17
315,2017-11-13,313008.47
316,2017-11-14,107105.68
317,2017-11-15,
318,2017-11-16,275942.44
319,2017-11-17,
320,2017-11-18,
321,2017-11-19,209841.25
322,2017-11-20,275044.71
323,2017-11-21,150729.24
324,2017-11-22,
325,2017-11-23,
326,2017-11-24,333935.66
327,2017-11-25,
328,2017-11-26,
329,2017-11-27,40663.25
330,2017-11-28,143889.64
331,2017-11-29,160347.3
332,2017-11-30,253918.44
333,2017-12-01,
334,2017-12-02,
335,2017-12-03,628365.64
336,2017-12-04,75967.8
337,2017-12-05,256479.87
338,2017-12-06,161255.31
339,2017-12-07,
340,2017-12-08,
341,2017-12-09,
342,2017-12-10,432168.65
343,2017-12-11,
344,2017-12-12,354322.54
345,2017-12-13,234867.98
346,2017-12-14,507459.67
347,2017-12-15,
348,2017-12-16,
349,2017-12-17,98924.52
350,2017-12-18,613226.41
351,2017-12-19,72554.93
352,2017-12-20,177234.03
353,2017-12-21,645436.31
354,2017-12-22,
355,2017-12-23,
356,2017-12-24,
357,2017-12-25,
358,2017-12-26,
359,2017-12-27,
360,2017-12-28,
361,2017-12-29,
362,2017-12-30,
363,2017-12-31,
364,2018-01-01,
365,2018-01-02,97244.19
366,2018-01-03,111266.92
367,2018-01-04,295651.65
368,2018-01-05,
369,2018-01-06,
370,2018-01-07,475852.68
371,2018-01-08,
372,2018-01-09,228955.58
373,2018-01-10,
374,2018-01-11,400336.88
375,2018-01-12,
376,2018-01-13,
377,2018-01-14,
378,2018-01-15,
379,2018-01-16,187942.07
380,2018-01-17,77287.82
381,2018-01-18,706209.31
382,2018-01-19,
383,2018-01-20,
384,2018-01-21,
385,2018-01-22,193278.36
386,2018-01-23,203709.58
387,2018-01-24,183197.22
388,2018-01-25,
389,2018-01-26,
390,2018-01-27,
391,2018-01-28,931576.41
392,2018-01-29,
393,2018-01-30,279786.11
394,2018-01-31,257060.02
395,2018-02-01,269289.4
396,2018-02-02,
397,2018-02-03,
398,2018-02-04,288722.68
399,2018-02-05,24480.73
400,2018-02-06,
401,2018-02-07,21679.87
402,2018-02-08,
403,2018-02-09,
404,2018-02-10,
405,2018-02-11,194167.88
406,2018-02-12,277000.12
407,2018-02-13,233971.26
408,2018-02-14,147316.66
409,2018-02-15,201427.22
410,2018-02-16,
411,2018-02-17,
412,2018-02-18,
413,2018-02-19,190733.58
414,2018-02-20,515687.24
415,2018-02-21,
416,2018-02-22,251194.09
417,2018-02-23,
418,2018-02-24,
419,2018-02-25,
420,2018-02-26,465339.28
421,2018-02-27,108416.01
422,2018-02-28,185458.02
423,2018-03-01,586084.89
424,2018-03-02,
425,2018-03-03,
426,2018-03-04,264873.62
427,2018-03-05,526903.36
428,2018-03-06,
429,2018-03-07,
430,2018-03-08,141836.46
431,2018-03-09,
432,2018-03-10,
433,2018-03-11,682258.89
434,2018-03-12,154784.13
435,2018-03-13,175470.75
436,2018-03-14,212255.03
437,2018-03-15,494519.91
438,2018-03-16,
439,2018-03-17,
440,2018-03-18,
441,2018-03-19,384496.73
442,2018-03-20,479754.41
443,2018-03-21,92173.69
444,2018-03-22,363182.73
445,2018-03-23,
446,2018-03-24,
447,2018-03-25,423661.06
448,2018-03-26,479108.66
449,2018-03-27,123854.91
450,2018-03-28,193914.94
451,2018-03-29,
452,2018-03-30,
453,2018-03-31,
454,2018-04-01,217946.55
455,2018-04-02,118316.68
456,2018-04-03,471187.36
457,2018-04-04,348111.3
458,2018-04-05,372701.33
459,2018-04-06,
460,2018-04-07,
461,2018-04-08,627439.47
462,2018-04-09,259429.31
463,2018-04-10,376838.85
464,2018-04-11,376838.85
465,2018-04-12,495286.62
466,2018-04-13,
467,2018-04-14,
468,2018-04-15,460103.58
469,2018-04-16,170563.91
470,2018-04-17,471763.04
471,2018-04-18,
472,2018-04-19,
473,2018-04-20,
474,2018-04-21,
475,2018-04-22,449415.87
476,2018-04-23,465023.24
477,2018-04-24,
478,2018-04-25,152310.05
479,2018-04-26,567273.58
480,2018-04-27,
481,2018-04-28,
482,2018-04-29,
483,2018-04-30,
484,2018-05-01,
485,2018-05-02,
486,2018-05-03,
487,2018-05-04,
488,2018-05-05,
489,2018-05-06,
490,2018-05-07,
491,2018-05-08,
492,2018-05-09,
493,2018-05-10,
494,2018-05-11,
495,2018-05-12,
496,2018-05-13,
497,2018-05-14,
498,2018-05-15,
499,2018-05-16,
500,2018-05-17,
501,2018-05-18,
502,2018-05-19,
503,2018-05-20,471828.42
504,2018-05-21,182759.53
505,2018-05-22,156942.15
506,2018-05-23,55256.23
507,2018-05-24,774985.1
508,2018-05-25,
509,2018-05-26,
510,2018-05-27,
511,2018-05-28,336982.41
512,2018-05-29,438115.35
513,2018-05-30,59105.55
514,2018-05-31,354027.57
515,2018-06-01,
516,2018-06-02,
517,2018-06-03,619216.36
518,2018-06-04,78454.81
519,2018-06-05,108019.34
520,2018-06-06,333121.71
521,2018-06-07,810058.33
522,2018-06-08,
523,2018-06-09,
524,2018-06-10,
525,2018-06-11,149266.98
526,2018-06-12,
527,2018-06-13,291447.81
528,2018-06-14,
529,2018-06-15,
530,2018-06-16,
531,2018-06-17,242842.81
532,2018-06-18,177789.33
533,2018-06-19,194247.08
534,2018-06-20,206387.96
535,2018-06-21,526126.15
536,2018-06-22,
537,2018-06-23,
538,2018-06-24,569963.46
539,2018-06-25,
540,2018-06-26,307194.17
541,2018-06-27,84874.43
542,2018-06-28,608153.48
543,2018-06-29,
544,2018-06-30,
545,2018-07-01,
546,2018-07-02,157598.2
547,2018-07-03,
548,2018-07-04,221512.6
549,2018-07-05,689077.37
550,2018-07-06,
551,2018-07-07,
552,2018-07-08,596668.59
553,2018-07-09,567789.56
554,2018-07-10,325653.85
555,2018-07-11,325653.85
556,2018-07-12,110187.65
557,2018-07-13,407236.62
558,2018-07-14,
559,2018-07-15,474239.3
560,2018-07-16,322535.44
561,2018-07-17,363498.8
562,2018-07-18,381913.94
563,2018-07-19,451815.12
564,2018-07-20,
565,2018-07-21,
566,2018-07-22,410224.51
567,2018-07-23,295140.38
568,2018-07-24,711653.82
569,2018-07-25,153081.47
570,2018-07-26,614192.13
571,2018-07-27,
572,2018-07-28,
573,2018-07-29,444166.93
574,2018-07-30,675042.62
575,2018-07-31,27993.13
576,2018-08-01,309824.59
577,2018-08-02,327649.91
578,2018-08-03,
579,2018-08-04,
580,2018-08-05,273933.54
581,2018-08-06,510878.04
582,2018-08-07,203731.19
583,2018-08-08,176242.9
584,2018-08-09,372692.06
585,2018-08-10,
586,2018-08-11,
587,2018-08-12,545881.29
588,2018-08-13,296546.53
589,2018-08-14,593731.32
590,2018-08-15,246577.13
591,2018-08-16,401274.65
592,2018-08-17,
