id,overhead
0,5750105
1,5750350
2,5750410
3,5750120
4,5750310
5,5750109
6,5750126
7,5750352
8,5750211
9,5750900
10,5750351
11,5750356
12,5750357
13,5750364
14,5750112
15,5750230
16,5750321
17,5750610
18,5750705
19,5750800
20,5750806
21,5750210
22,5750702
23,5750510
