id,month,seventeen,eighteen,nineteen
0,1,6305041.79,6125009.38,1984610.75
1,2,4308046.87,4233952.57,1925010.71
2,3,6940768.38,4010337.73,2858089.89
3,4,5627151.73,6782119.83,2628266.1
4,5,7874425.88,11573406.39,3386097.33
5,6,4466164.68,8682836.44,3501240.11
6,7,3593475.56,4518821.04,1403221.97
7,8,4952495.21,4613862.13,900689.55
8,9,6662149.19,1292790.8,1277163.91
9,10,4273879.77,3820933.45,963429.04
10,11,5609678.04,2509796.27,1354099.5
11,12,3588418.29,3272444.28,4345190.16
